company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Jansson Mark Aktiebolag,5561204065,3,55,Segenmark Jansson; Eva Birgitta,4,2,Jansson Mark Aktiebolag|Olle Fälths Fastighets Aktiebolag|Badhusgatan 10 i Halmstad AB|Barometern Lokaler Handelsbolag
Jansson Mark Aktiebolag,5561204065,3,55,Jansson; Björn Herman Niklas,7,3,Halmstads stadsnät AB|Fastighetsägarna GFR AB|Jansson Mark Aktiebolag|Halmstads City Utvecklings Aktiebolag|Olle Fälths Fastighets Aktiebolag|Badhusgatan 10 i Halmstad AB|Fastighetsägarna GFR Ek. för.
SEDUNA AB,5591224133,6,45,Kronqvist; Jim Fredrik,2,2,SEDUNA AB|Green Earth AB
doowin AB,5591389092,4,34,Gauffin; Niklas Fredrik,2,1,LBAB Montage AB|doowin AB
Svensk Kylkvalitet AB,5568792294,3,40,Vesterberg; Ralf Joakim,1,3,Svensk Kylkvalitet AB
Edvardssons Måleri i Kungsbacka AB,5565333365,4,50,Jansson; Lars Johan Tommy,1,1,Edvardssons Måleri i Kungsbacka AB
MTA Bygg & Anläggning i Varberg AB,5569448003,5,52,Zryd; Lars Tommy,42,40,MACNAT Holding AB|MTA Bygg & Anläggning Halland AB|MTA Bygg & Anläggning Skåne AB|MTA Maskin AB|Halmstad Vårdboende AB|MTA Bygg & Anläggning i Varberg AB|Kävlinge Vårdboende AB|MTAF nr 6 AB|Eirhem AB|Industriförvaltning i Söndrum AB|Båstad Tuvelyckan AB|MTAF Nr 3 AB|MTAF nr 14 AB|Järnvägsvallen Fastighets AB|Båstadlyckan Fastighets AB|Båstads Communicationscenter AB|Trelleborg Vårdboende AB|MTAF nr 15 AB|Varberg Vårdboende AB|MTAF nr 9 AB|Midhem Projektutveckling AB|MatsTommyAndreas Fastighets AB|MTAF nr 1 AB|MACNAT Property AB|MTAF nr 13 AB|Tommy Zryd AB|Båstad Vårdboende AB|Falkenberg Vårdboende AB|MTAF nr 7 AB|MACNAT Property Development AB|MTAF nr 20 AB|Expressgrus i Halmstad AB|MTAF nr 10 AB|MTA Trollängen Holding AB|MTAF nr 8 AB|Mölnlycke Vårdboende AB|MTAF nr 2 AB|Krukan 5JL AB|MACNAT Construction AB|MTAF nr 12 AB|Krukan 5C AB|Mattan Johan AB
SGK Installations AB,5567510887,3,38,Bengtsson; Hans Fredrik Tobias,3,0,SGK Installations AB|MBM Förvaltning AB|GAFP Förvaltning AB
Alufasad Nordic AB,5591288567,5,50,Nilsson Helleklev; Artur Rickard,1,0,Alufasad Nordic AB
L-L Ställningar AB,5566450549,3,50,Lundin; Dan Jörgen,4,1,L-L Ställningar AB|J Lundin Entreprenad AB|L-V Ställningar AB|Jumake AB
L-L Ställningar AB,5566450549,3,50,Valsberg; Tomas Örjan,4,2,L-L Ställningar AB|J Lundin Entreprenad AB|L-V Ställningar AB|Jumake AB
SPINDEL AB,5566972914,5,42,Åström Spindel; Jan Sune Alfred,2,1,Jan Spindel Invest AB|SPINDEL AB
Nevecka AB,5590100920,3,42,Zachariasson; John Daniel,3,1,Nevecka Maskin AB|Nevecka Holding AB|Nevecka AB
Oves Golv i Falkenberg AB,5565549036,3,60,Lyrbring; Anders Christer,5,8,Golvet Göteborg Aktiebolag|Oves Golv i Falkenberg AB|Golvet Varberg AB|Golvet TVU AB|Säljmax Individ & Resultatutveckling i Göteborg AB
