company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Hanna Karlzon Design AB,5590599782,2,40,Karlsson; Hanna Maria Matilda,1,1,Hanna Karlzon Design AB
JPSS Bygg AB,5592024326,2,37,Sandberg; Lars Petter,2,1,JPSS Bygg AB|Sandberg Bygg I Umeå AB
LK Sweden AB,5592002561,3,45,Karlsson; Tage Patrik,1,0,LK Sweden AB
LK Sweden AB,5592002561,3,45,Karlsson; Klas Linus,1,2,LK Sweden AB
Larsson i Malgovik AB,5567422224,2,52,Larsson; Bengt Peter,1,0,Larsson i Malgovik AB
Preutz Design Aktiebolag,5563643385,2,64,Preutz; Thed,2,0,Granö Beckasin AB|Preutz Design Aktiebolag
Tensio AB,5590393707,2,61,Nilsson; Knuth Martin,4,3,Speechless AB|Gilla Redovisning Umeå AB|Singeln 11 Aktiebolag|Tensio AB
ARTBY AB,5591169924,3,39,Hardell Flagge; Sara Mari Therese,2,1,Hardell Flagge|ARTBY AB
ARTBY AB,5591169924,3,39,Hardell; Karl Oskar,1,1,ARTBY AB
MB Networks AB,5569379349,2,50,Bjuhr; John Mikael Alexander,1,0,MB Networks AB
Ronja & Richards Fönster 23 AB,5568572092,2,45,Mella; Bernt Richard,2,1,Ronja & Richards Fönster 23 AB|R23kampsport
It.B Consulting AB,5568797780,2,78,Östberg; Jan-Erik Ragnar,1,0,It.B Consulting AB
MAROTO Fastigheter AB,5569200958,3,48,Johansson; Ulf Tomas,3,3,Lappvattnets Snickeri AB|Lappvattnets Förvaltnings AB|MAROTO Fastigheter AB
Storrank Service AB,5590399142,2,52,Storrank; Pär Gustaf,1,2,Storrank Service AB
Nordic Bygg i Skellefteå Aktiebolag,5565841086,2,63,Lööv; Erik Anders,2,2,Nordic Byggbolaget EA Lööv AB|Nordic Bygg i Skellefteå Aktiebolag
EH Consulting Group Sweden AB,5566983697,2,55,Edvall; Maria Katarina,6,4,Handelskammarens Service; AC län AB|Executive Home of Unlimited Business AB|EH Consulting Group Sweden AB|JED Consulting AB|Nova Management|AC Invest Aktiebolag
Northern Oaks AB,5591791784,2,32,Wass; Johan Erik Ingemar,1,0,Northern Oaks AB
Annini Aktiebolag,5565375465,2,55,Axelsson; Anni Maria,2,1,KAMELEONT DESIGN|Annini Aktiebolag
Fog Västerbotten AB,5568601701,3,40,Asplund; Sten Åke,5,5,UmeKakel AB|LONE Holding AB|Fog Västerbotten AB|Hörneå Holding AB|SÅA Holding AB
Fog Västerbotten AB,5568601701,3,40,Eriksson; Leif Olof Niklas,4,3,LONE Holding AB|Fog Västerbotten AB|SÅA Holding AB|Obbola Skärgårdsfastigheter AB
Aktiebolaget Ohlssons Tyger & Stuvar i Norrbotten,5564249190,2,67,Olsson; Torbjörn,2,8,Ohlssons Tyger & Stuvar Aktiebolag|Aktiebolaget Ohlssons Tyger & Stuvar i Norrbotten
Walleskog Konsult AB,5590886932,2,50,Walleskog; Karl Tobias,2,1,WK Holding AB|Walleskog Konsult AB
Bedema AB,5569849416,3,61,Danielsson; Bengt Rune,1,3,Bedema AB
Bedema AB,5569849416,3,61,Danielsson; Louise Margaretha,1,1,Bedema AB
FSF EL OCH DYK AB,5568434590,4,45,Lundström; Göran Fredrik,1,1,FSF EL OCH DYK AB
FSF EL OCH DYK AB,5568434590,4,45,Vallström; Lars Fredrik,2,0,Envico Power Partner AB|FSF EL OCH DYK AB
Skefix AB,5569947129,2,37,Normark; Anton Olov Johannes,3,0,Skefix AB|Stagecraft AB|Amillion Ideas AB
Vännäs Markservice Aktiebolag,5564221686,2,69,Långström; Hans Erik,6,10,Böleå Mark Aktiebolag|JämtVäst AB|Vännäs Markservice Aktiebolag|MV 11 i Umeå AB|Huro fastigheter AB
Mitt Borr AB,5565697421,2,65,Brännlund; Karl Olov Ruben,1,2,Mitt Borr AB
JV Heating AB,5563124907,4,67,Sjöstedt; Nils Olof,5,5,Aspsjö Entreprenad AB|N.O Sjöstedt Entreprenad Aktiebolag|JV Heating AB|Nils Olof Sjöstedt|N.O Sjöstedt Förvaltnings AB
JABE Grenler AB,5590517412,3,53,Erinder; Bo Lennart,3,4,Puttes vvs AB|JABE Grenler AB|Erinders Rörservice
JABE Grenler AB,5590517412,3,53,Grenler; Patrik Nils,2,3,Puttes vvs AB|JABE Grenler AB
Tengman Konsult Aktiebolag,5562627579,2,73,Tengman; Bo Anders,4,3,Fastighetsaktiebolaget Döbeln|Smart Climate Scandinavian AB|Tengman Konsult Aktiebolag|Smart Climate Holding AB
ArchEland AB,5563776441,3,49,Andersson; Hans Bertil,4,7,Terminalen i Bastuträsk AB|Norrfrakt Aktiebolag|ArchEland AB|Norsjöfrakt Kapitalförvaltning Ekonomisk förening
IRL konsult AB,5590702774,2,66,Lundin; Lars Roger,2,1,IRL konsult AB|Bostadsrättsföreningen Älgkon
