company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Betonghåltagarna Patrick Malmqvist i Huskvarna    Aktiebolag,5565052346,2,57,Malmqvist; Magnus Patrick,7,27,Betonghåltagarna Patrick Malmqvist i Huskvarna    Aktiebolag|BoxBo AB|Bråneryd Fastigheter AB|MN 63 Holding AB|Pyrené Invest AB|PACAMA Invest AB|Statement Consulting AB
Betonghåltagarna Uppsala AB,5569671828,3,45,Frisenholm; Lars Andreas,1,1,Betonghåltagarna Uppsala AB
Betonghåltagningar Nordborr AB,5564265154,3,65,Magnusson; Erik Olof Gunnar,3,22,Betonghåltagningar Nordborr AB|Prisgård AB|Norrlandsmaskiner Sälj Aktiebolag
Betongteamet Riv & Håltagning i Bergslagen AB,5565525606,3,46,Bergman; Johan Eric Magnus,2,9,Betongteamet Riv & Håltagning i Bergslagen AB|Myxona AB
Betongtjänst i Vassmolösa Aktiebolag,5564719440,2,54,Carlsson; Ulf Fredrik,5,7,Betongtjänst i Vassmolösa Aktiebolag|Ekonomikonsult Syd AB|Rimica Sten & Trädgård AB|Kalmar Prefab AB|Fremic Marketing Kommanditbolag
Betonmast Mälardalen AB,5590991898,3,49,Garheden; Bengt Marcus Fredrik,2,0,Kollevik projekt och individutveckling AB|Betonmast Mälardalen AB
Be-Lo Elektriska Aktiebolag,5564624855,4,58,Dahlström; Tommy Sven Åke,6,3,Garantiasfalt i Ornäs Aktiebolag|Be-Lo Elektriska Aktiebolag|Dexter Holding AB|Dalecarlia Solel AB|Tomnäs Fastighetsförvaltning AB|Be-Lo Elektriska Holding i Borlänge AB
PL Kakelservice i Gävle AB,5568747496,2,55,Lång; Per Bror Robert,2,4,Team Lång AB|PL Kakelservice i Gävle AB
BFA Bygg AB,5568039795,4,51,Fahlström; Björn Jerker,1,2,BFA Bygg AB
BFB Gruppen AB,5567577829,3,41,Fernström; Carl Hampus,5,16,BFB Gruppen AB|BFB Entreprenad AB|Ladugårds Förvaltning AB|BFB Förvaltning AB|Stockholmshus/Uppsala AB
BGT Liden AB,5590168232,2,46,Lidin; Lars Olof,4,4,BGT Liden AB|Boda Grävtjänst Handelsbolag|Indalens Bioenergi AB|Lifa AB
BH Markentreprenad & Konsult Aktiebolag,5562428515,3,53,Hedin; Evy Carina,2,4,BH Markentreprenad & Konsult Aktiebolag|Sol-Energi Svenska Aktiebolag
BIAB Entreprenad AB,5560807439,3,51,Bergdahl; Per Anders,2,4,TÅL Förvaltning Handelsbolag|BIAB Entreprenad AB
BIAB Lås & Larm Aktiebolag,5563108223,2,51,Wallenius; Karl Tony,4,6,BIAB Lås & Larm Aktiebolag|Spånga Lås Aktiebolag|Wallenius Data i Stockholm Aktiebolag|OTK Konsult AB
Bil & Schakt Stockholm AB,5567809842,3,54,Karlsson; Bo Ingvar,1,2,Bil & Schakt Stockholm AB
Billdals Bygg AB,5563698454,2,47,Andersson; Leif Fredrik,2,2,LeLi Fastighets Aktiebolag|Billdals Bygg AB
Billesholms Bygg AB,5568697303,2,40,Gliwinski; Lukasz Bartlomiej,2,0,Billesholms Montering AB|Billesholms Bygg AB
