company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Engbergs Transportsystem AB,5566344296,2,48,Johansson; Carl Thomas,1,2,Engbergs Transportsystem AB
Engjo Bygg Aktiebolag,5561584029,4,53,Wennerholm; Johan Fredrik,16,15,Handelsbolaget Tylöbaden; Wennerholm & Co|Ringenäs Golf AB|Engjo Bygg Aktiebolag|Aktiebolaget Frösakulls Havsbad|Kronolunds Fastigheter AB|Trerik Fastigheter AB|FastighetsAktiebolaget Komsper|Fastigheten Katten 4 & 5 AB|TYLÖ Kabel-TV Aktiebolag|Borgareds Skogs AB|Frösakull Sport AB|Wennerholms Fastighetsförmedling Halmstad         Aktiebolag|Tiovåningar AB|Niovåningar AB|Trerik Aktiebolag|Wennerholm Holding AB
Englunds Bygg Sävsjö AB,5569741043,2,38,Englund; Mattias Pär Fredrik,2,1,Englunds Bygg Sävsjö AB|Englund Fastighets i Sävsjö AB
Englunds Måleri Aktiebolag,5563378669,2,66,Johansson; Hans Roland,3,12,Englunds Måleri Aktiebolag|Måleriföretagen i Sveriges Serviceaktiebolag.|Hagfors Måleri RT Aktiebolag
Englunds Plåtslageri Hönö AB,5590525621,2,44,Englund; Kjell Daniel,4,1,Englunds Plåtslageri Hönö AB|Hönö Bygg & Mark AB|Englund Hönö AB|KMD Fastigheter Hönö AB
Engströms Isolering i Helsingborg Aktiebolag,5564698818,3,51,Engström; Mats Göran,2,2,Engströms Isolering i Helsingborg Aktiebolag|Steamisol AB
ENIVA AB,5566336714,2,47,Westerlund; Lars Olof Johannes,8,9,Gefjon AB|ENIVA AB|ENIVA Syd AB|ENIVA Öst AB|Eniva Solutions AB|Eniva Sverige AB|Isodux Invest AB|Monodux Invest AB
ENIVA Syd AB,5567840433,2,47,Westerlund; Lars Olof Johannes,8,9,Gefjon AB|ENIVA AB|ENIVA Syd AB|ENIVA Öst AB|Eniva Solutions AB|Eniva Sverige AB|Isodux Invest AB|Monodux Invest AB
ENIVA Öst AB,5568188295,2,47,Westerlund; Lars Olof Johannes,8,9,Gefjon AB|ENIVA AB|ENIVA Syd AB|ENIVA Öst AB|Eniva Solutions AB|Eniva Sverige AB|Isodux Invest AB|Monodux Invest AB
Entema Entreprenader & Service Aktiebolag,5564269537,3,55,Vänglund; Johan Nils,2,2,Entema Invest AB|Entema Entreprenader & Service Aktiebolag
Entreprenad Service Stockholm Aktiebolag,5568603616,2,35,Arousell; Kjell Johan,2,3,J&R Anläggning AB|Entreprenad Service Stockholm Aktiebolag
Entreprenad Svarttorp AB,5567450753,2,58,Claeson; Anders Christian,2,0,Rikstens Entreprenadmaskiner i Tullinge AB|Entreprenad Svarttorp AB
Entreprenad & Skog Sverige AB,5567038616,2,54,Svensson; Åke Gillbert,5,4,Asfaltbolaget Sverige AB|Entreprenad & Skog Sverige AB|Karlskrona Solpark Drift ek. för.|BeGrit AB|Jämjö Padelcenter AB
Entreprenadprojekt Täby AB,5590729959,2,52,Cederholm; Peter Erik Mikael,3,2,EPT Green Solution AB|Entreprenadprojekt Täby AB|Peter Cederholm Consulting
Entreprenör Mats Sundelin Aktiebolag,5563699221,2,61,Sundelin; Mats Olof,3,2,MSE Berg AB|Entreprenör Mats Sundelin Aktiebolag|Entr. Mats Sundelin
EoB PLÅT I RÅÅ AB,5566908926,4,61,Nilsson; Karl Kristian,3,2,Holdingbolaget Saxen i Råå AB|EoB PLÅT I RÅÅ AB|Holdingbolaget Falstången i Råå AB
EPS Sweden AB,5567864805,3,35,Larsson; Raul Mattias,8,4,MRM Mining Aktiebolag|EPS Sweden AB|Elbyrån i Gällivare AB|KL Last i Gällivare AB|MLN i Gällivare AB|Repisvaara Fastigheter AB|Nordic Industry Group AB|Sadjem Förvaltning AB
Erabetong AB,5567954002,3,39,Kyrkander; Dan Robert,2,0,Christer Kyrkander Ventilation Aktiebolag|Erabetong AB
Erbeco Värmeteknik Aktiebolag,5561308007,3,46,Damberg; Björn Anders Tommy,3,2,Erbeco Värmeteknik Aktiebolag|Erbeco Fastigheter AB|Erbeco Invest AB
ERC Systems AB,5569718462,3,42,Öhrn; Robin Alf,1,0,ERC Systems AB
Eric Andersson Gruppen AB,5562873967,5,61,Wränghede; Anna Karin,18,48,Eric Andersson Gruppen AB|Aktiebolaget Frijo|Bro & Väg Mälardalen AB|Broby Spår AB|Bygg & Berglaget Stockholm AB|S.G. Westin Elcenter AB|Keyser Fastigheter AB|Åkerby Industrihus Aktiebolag|Inframontage AB|JB Rail AB|Edsbergs Park Fastigheter AB|Alvar Engine Aktiebolag|EA Trading AB|VAJM AB|Sigtuna Eneby Fastighets AB|Älvsjö Industrihus AB|Fastighetsaktiebolaget Elektrikern 7|Wränghede Consulting Aktiebolag
Ericson i Lima AB,5561999805,nan,nan,Bröyt; Per Olof Daniel,1,16,Ärnäslund AB
EHB VVS AB,5569910333,3,31,Holmstedt; Nils Oliver,3,1,Aktiebolaget Holmstedt Holding|Velitas Förvaltning AB|EHB VVS AB
Ericssons Rör & El i Sjuhärad AB,5564626496,2,62,Borg; Bo Anders,2,8,Ericssons Rör & El i Sjuhärad AB|Markborgen AB
Erik Fernströms Entreprenad AB,5568375363,2,29,Fernström; Bo Per Erik,3,1,Linjegolv entreprenad i Nyköping AB|Erik Fernströms Entreprenad AB|Fernströms Entreprenad
Erik Gustafsson Bygg AB,5565729414,5,53,Lundmark; Hans Olov Jörgen,2,1,Erik Gustafsson Bygg AB|Jörgen Lundmark Holding AB
Erik Gustafssons Isolerings Aktiebolag,5561811406,4,45,Trygg; Christian Emanuel,2,3,Lars Trygg Rörinstallationer AB|Erik Gustafssons Isolerings Aktiebolag
Erik J.A. Nilsson Rörlednings Aktiebolag,5561115345,2,58,Källsholm; Stig Peter,1,1,Erik J.A. Nilsson Rörlednings Aktiebolag
Erik Tuominen byggfirma Aktiebolag,5563217222,3,69,Tuominen; Erik Magnus Leo,3,2,Brukets Såg & Brädgård Aktiebolag|Erik Tuominen byggfirma Aktiebolag|ERIK TUOMINEN BYGGFIRMA KOMMANDITBOLAG
Eriksson och Billings Byggservice AB,5568090087,2,30,Eriksson; Johan Mattias,2,7,Solgruppen Norden AB|Eriksson och Billings Byggservice AB
Erikssons Bygg & Timmer Aktiebolag,5564263019,2,42,Eriksson; Hans Johnny Hellman,2,5,Erikssons Bygg & Timmer Aktiebolag|Johnny Eriksson Förvaltning AB
Erikssons Plåt & Kopparslageri AB,5564379930,5,54,Däumichen; Marcus Valter Petter,3,5,Erikssons Plåt & Kopparslageri AB|Kopparkitteln AB|Dala Takentreprenader AB
Erikssons Plåt & Kopparslageri AB,5564379930,5,54,Eriksson; Robert Sören,5,14,Erikssons Plåt & Kopparslageri AB|Erikssons Plåt i Nyköping AB|Dala Takentreprenader AB|Kopparkitteln AB|Rembo Företagscenter AB
