company_no,company_name
5568272859,118 Bygg AB
5590672316,Örjan Fredriksson Bygg AB
5567671341,H Norling Maskin Aktiebolag
5591200398,Nordic Skill El & Installation AB
5592007701,Conegi AB
5568617228,Isoleringsservice i Ö - vik AB
5569694572,Sundsvalls byggnadsvård AB
5590895164,Sundsvalls Bygg & design AB
5566239660,Nordbygg i Norrland AB
5567216998,Dennis & Benny Com AB
5567604870,P. Strömqvist El AB
5591104418,Bjästa mark & isol entreprenad AB
5562660679,Bo-Erik o Stefans Byggservice Aktiebolag
5590448725,ECO Scandinavian construction AB
5591486435,RAFALS BYGG i Sundsvall AB
5569189821,Lucky Svets Teknik AB
5562534445,Markbyggarna i Sundsvall Aktiebolag
5568264336,PQ Teknik & Alltjänst i Härnösand AB
5590815683,Sjödins Åkeri AB
5568108913,Läktarproffs i Sundsvall AB
5567526628,Hagamurarna AB
5568919038,AB MB Sten & Mark
5568144140,TransRent AB
5569872558,Jonasson Gräv AB
5568568785,MPL Rör & Montage AB
5590887237,2 Bygg Leif Dahlqvist AB
721204XXXX,Karlsson; André
620920XXXX,MATTS ÅKERLUND GRÄVMASKINER
530903XXXX,Örjans Rep o Bygg
700602XXXX,GRADIN; KARL JONAS
590629XXXX,Öjbackens Entreprenad
531114XXXX,Ödlings Värme & Sanitet
481217XXXX,Stures Rör
550201XXXX,Birsta VVS & Service
590714XXXX,M Kejerhag ByggService
9164717929,Wibergs Bygg Kommanditbolag
580120XXXX,SVENNES BYGG & ALLTJÄNST
9164718828,P-A MONTAGE KOMMANDITBOLAG
900805XXXX,Häggkvist; Sebastian
930924XXXX,Norrlands Golvavjämning
580215XXXX,RG Schakt
700612XXXX,JOHANSSON; LARS MARTIN
711225XXXX,Nordlöf; Micael
701115XXXX,Tösta Lantbruk & Entreprenad
700530XXXX,Sjölander Bygg
701222XXXX,Örjans Schakt
560208XXXX,Y-Tak
790315XXXX,Norrlindsjö Berg & Entreprenad
550526XXXX,Westmans Maskintjänst; Lennart Westman
5565813036,Åvt Mitt AB
5568349269,Byggbolaget i Sundsvall AB
5591608418,Elitbygg i Örnsköldsvik AB
5561215848,Nordlanders Lastmaskiner Aktiebolag
5568277098,Lundins Värme & Sanitet AB
5567033708,EASTWALL CONSULTING AB
5567878755,Nipstaden Bygg AB
5591284392,Enviso AB
5568352677,Nybergs Bygg i Härnösand AB
5567224729,Norells Mark & Bygg AB
5591405468,Sundsvalls Eltjänst AB
5568583347,Mano Bygg AB
5567738561,Allitek Sverige AB
5569177818,Timrå VVS AB
5562717727,Ånge Glasmästeri Aktiebolag
5591591275,Wedig Entreprenad AB
5568502172,Bengt Åke Björklund Bygg AB
5567712657,Bergströms El i Sundsvall AB
5565537122,Y Läns Miljöisolering AB
5568274806,Industribemanning i Gävleborg AB
5568424468,Lindahls Golv & Kakel AB
5569061954,LER Entreprenad AB
5591419857,Mo Telecom AB
5565331708,Golvtjänst Timrå AB
5591505275,Stebygg AB
5590200654,Xup AB
5590402474,Hällsjö Bygg AB
5591318927,JNN Resurs AB
5569698680,SA Recycling AB
5569306581,Mitt Rör AB
