company_no,company_name
5561243238,Bröd. Engströms Entreprenadmaskiner Aktiebolag
5560968108,T-Schakt Aktiebolag
5561257881,Hifab AB
5564626611,XERVON Sweden AB
5568173446,Molöf Bygg AB
5563944585,Ventab i Göteborg AB
5590508601,Umia Syd AB
5563988244,LW Sverige AB
5560657800,Ivar Celander Aktiebolag
5563383313,KEWAB AB
5564357878,Göran Eriksson Maskintjänst Aktiebolag
5562469105,P.Å. Hellströms Bygg Aktiebolag
5567368740,Sterner Stenhus Fasad AB
5561293803,Otis Aktiebolag
5565012522,Järntorget Byggintressenter Aktiebolag (publ)
5561857037,Borga Plåt AB
5567570162,PJ Entreprenad & Förvaltning i Trelleborg AB
5567909956,Northpower Stålhallar AB
5566090162,MIPS AB
5567160394,Krook & Tjäder Holding AB
5565812491,Markbygg Anläggning Väst AB
5564648235,Bygg- och Installationsgruppen Svenska AB
5561939215,S M Entreprenad Aktiebolag
5568122252,SAMGRÄV MASKINFÖRMEDLING AB
5564188679,Byggmästare S.A. Englund Aktiebolag
5565745527,Bäckström Stockholm Aktiebolag
5568790512,BST Brandskyddsteamet AB
5567508816,Byggprojektgruppen Lindblom AB
5562131556,Uppländska Bergborrnings Aktiebolaget
5561522573,J.L. Byggtjänst i Eksjö Aktiebolag
5560630450,Gustav R. Johansson Aktiebolag
5566573233,Macon AB
5560713009,AARSLEFF Rörteknik Aktiebolag
5562084292,Sydställningar i Sölvesborg Aktiebolag
5561081869,Byggnadsaktiebolaget Gösta Bengtsson
5568592918,GRK Infra AB
5565031902,Rosenqvist Gruppen AB
5564733102,Teknisk Fastighetsservice i Norrland              Aktiebolag
5564543568,Bröderna Öhman AB
5564985264,Benny Larsson Schakt Aktiebolag
5562151042,Bennys Gräv Aktiebolag
5564334166,Hansson & Söner Entreprenad Aktiebolag
5562232172,Svensk Sjöentreprenad i Malmö AB
5569802084,VentPartner Sverige AB
5591246797,NYAB Infrastruktur AB
5567221220,Frentab Entreprenad AB
5563449858,Sjövalla Byggservice Aktiebolag
5565846234,Ryds Glas AB
5565364469,Asplunds Bygg i Örebro AB
5561791871,Johansson & Rehn Byggnads Aktiebolag
5569226300,Adero AB
5566615638,Br. Sandhs Entreprenad AB
5563735215,KAK Byggen AB
5568333925,Northern Transport Group AB
5564314804,Drottningholms Entreprenad AB
5565949319,Byggarvid AB
5566242615,Rovalin AB
5567397376,Lindesberg's Bygg AB
5590309232,Kihlström Investment AB
5564481611,Thermion AB
5566997689,AB Tresson fasad
5564085677,Agnesbergs Grävtjänst i Kungälv Aktiebolag
5565044137,Byggessen Entreprenad AB
5568077720,Sandström Nätentreprenad AB
5560860826,Turbinen Entreprenad AB
5566179106,K4 Elektriska AB
5562703156,Granflo Bygg Aktiebolag
5562329754,Savana Invest AB
5569701377,BayWa r.e. Nordic AB
5569569394,Totalbyggen i Västerås AB
5567321566,Svensk Infrastruktur AB
5562042555,Myrina Invest Aktiebolag
5561031807,HÖ Allbygg Aktiebolag
5563419877,Arkitekt Magnus Månsson Aktiebolag
5568747538,BF Stambytesentreprenad AB
5562902436,KAEFER AB
5568518491,Muniak Sverige AB
5569451841,Wilzéns Bygg AB
5560415480,Aktiebolaget Oscar Hanson Värme - Ventilation -   Sanitet
5566873963,TRANAB Markbyggnad Aktiebolag
5561342949,Ekens Golv Aktiebolag
5590323621,NVBS Projekt AB
5567196539,Kronetorp Park Projekt AB
5568884489,Rosento Bygg & Material AB
5566240510,MMB i Båstad AB
5561095596,B. Sjögren i Halmstad Aktiebolag
5565399341,Recover Riv & Håltagning AB
5569516643,Kingspan AB
5565439337,ENACO Sverige AB
5568117732,Markax AB
5566553441,SEHED Bygg Gävleborg AB
5566913033,STARK Fasadrenovering i Sverige AB
5569046260,RO-Gruppen Koncept AB
5590246046,Dynacon Construction Kalmar AB
5561808949,HO Johansson Förvaltnings AB
5564359791,AB CD BYGG
5567613384,WH Bolagen Sverige AB
5565134797,Flextronics International Sweden AB
5563965911,Indoor Energy Services Sweden AB
5561144196,Otto Nilssons Byggnads Aktiebolag
5568005721,Umia AB
5565750691,SjötorpsHus AB
5566506845,Gatu och Väg Väst AB
5568440274,Dick M Jagdell Bygg i Ulricehamn AB
5568348147,Balticgruppen Bygg AB
5563753903,Håkan Zillén Bygg Aktiebolag
5565546156,Puts & Tegel i Örebro AB
5560437948,Aktiebolaget Rörläggaren
5567559249,Rototec AB
5566624697,Adelsö Entreprenad & Transport AB
5568195613,SML Invest AB
5563688471,Trångsvikens Bygg Aktiebolag
5560590415,Källfelt Byggnadsaktiebolag
5567744585,Stenhusgruppen Mark och Hus AB
5560339938,Aktiebolaget Svensk Byggtjänst
5591465678,SVEAB-Keller Årstafältet Projektet AB
5563397503,Wingårdh Arkitektkontor Aktiebolag
5562773878,HEAB Byggställningar Aktiebolag
5567466122,Upplands Projektbygg AB
5568923212,VGH Sverige AB
5561060822,Rivners Aktiebolag
5569037012,Byggcenter i Borås Byggnads AB
5590442397,Consto Öst AB
5566634811,Byggmäster i Mälardalen AB
5568553688,Lestra Entreprenad Sverige AB
5567006019,Mobil Bygg i Stockholm AB
5568334386,FPP 2 Holding AB
5563339745,Tuve Byggservice AB
5568032295,Artega Entreprenad AB
5567278436,E-Holding Aktiebolag
5564010659,BYGGA GWG AB
5562107390,Ventilation Entreprenad Aktiebolag V E A B
5560220476,Midroc Ställningar AB
5569818445,2xA Entreprenad AB
5565821336,AB Lindstams Bygg
5567706980,Kungskvarnen AB
5562807619,Skäret Aktiebolag
5566870571,VST Nordic AB
5563763688,Tungel Byggare AB
5561450379,Liljewall Arkitekter Aktiebolag
5569267403,Nordfeldt Development AB
5565412631,Vilande Brinkab AB
5561441428,Kaj Johanssons Åkeri Aktiebolag
5562221845,Nybergs Entreprenad Aktiebolag
5565294377,B. Bodins Bygg & Byggledning AB
5565206660,Han sa Bygg AB
5566870209,Lindbäcks Boende AB
5565333902,SSM Holding AB
5565657680,Team Skåne Bygg AB
5567333512,Himmelsta Byggentreprenad AB
5566569603,AB Karlssons Fasadrenovering
5568155583,SVENSKA HUSCOMPAGNIET AB
5565653994,Wallbergs Åkeri i Hennan AB
5567755938,Scanmast AB
5564168275,Våtrumsteknik i Skandinavien Aktiebolag
5564183522,Ömangruppen Svenska AB
5564451275,Olof Mobjer Entreprenad Aktiebolag
5568165350,VästMark Entreprenad AB
5567321848,Stråheds i Anderslöv AB
5565315164,Allt i Mark och Anläggning i sydsverige AB
5564833654,Markona AB
5568631682,Lerstenen Invest AB
5562867977,Nordiska Byggkoncept AB
5563245025,Fundamenta Grundläggning Aktiebolag
5564578663,GW ASFALT & TRÄDGÅRDSANLÄGGNINGAR Aktiebolag
5561069872,Torslanda Entreprenad i Göteborg Aktiebolag
5566640479,Primekss Sweden AB
5563751535,Icopal Entreprenad Aktiebolag
5562813245,Nordiska Industribyggen & Fasad NIFAB             Aktiebolag
5563694925,Bogfelts Installationer och Entreprenad AB
5566101696,Brabo Stockholm AB
5568024706,C4 Hus AB
5563160745,Bengt Johanssons Rör Aktiebolag
5562710615,Månsson Rör & Värmepumpar i Östergötland AB
5569356875,Gavle Drift & Service AB
5561796151,Marbit Aktiebolag
5562903582,Tectum Byggnader AB
5567477129,STATICUS Sverige AB
5567145874,Kungsmontage Byggentreprenad AB
5565409165,Picea Bygg AB
5563132397,Bro & Väg Mälardalen AB
5567043046,Vilande B&B AB
5590465315,Arctic Infra AB
