company,id,status,actual_status,remark,default_date
Axelssons Energiteknik AB,5591657951,aktivt,aktivt,,
FM Gräv- & Anläggningskonsult AB,5590151956,aktivt,aktivt,,
Jüngling Invest Design and Marketing Aktiebolag,5565475984,aktivt,aktivt,,
CS Byggledning AB,5567521421,aktivt,aktivt,,
US Tak & Bygg AB,5590543939,aktivt,aktivt,,
Magnus ByggKonsult i Gnosjö Aktiebolag,5564719572,aktivt,aktivt,,
Bygg och Måleri i Vålberg AB,5590238092,aktivt,aktivt,,
Frippes Vaktmästeri & Alltjänst AB,5591428304,aktivt,aktivt,,
Brandax AB,5590768023,aktivt,aktivt,,
Thomas Jäderholm AB,5568325558,aktivt,aktivt,,
Ingvar Nilssons Entreprenad Aktiebolag,5562569888,aktivt,aktivt,,
Viggos Måleri Aktiebolag,5561487272,aktivt,aktivt,,
Per Persson i Kråkeryd AB,5567953608,aktivt,aktivt,,
Vindic Ingenjörsbyrå Handelsbolag,9165224222,aktivt,aktivt,,
Lindmarks Måleri Kommanditbolag,9165215436,aktivt,aktivt,,
Michael Pinaitis Svets och Rörtjänst Filial,5164081134,aktivt,aktivt,,
Vetlanda Sävsjö VVS Service AB,5569317042,aktivt,aktivt,,
HANDKRAFT I HAGSHULT AB,5591890537,aktivt,aktivt,,
Rost och blandat Handelsbolag,9697715804,aktivt,aktivt,,
Handelsbolaget Alf Hanssons Gräv,9164535198,aktivt,aktivt,,
Handelsbolaget K J Johansson,9164150220,aktivt,aktivt,,
EMP:s Entreprenad i Slageryd Handelsbolag,9697680016,aktivt,aktivt,,
Arkitektföretaget Noorlander & Räntfors           Handelsbolag,9164166069,aktivt,aktivt,,
Iwo Jonssons El Handelsbolag,9165222010,aktivt,aktivt,,
BMI Schakt o Transport Handelsbolag,9697612290,aktivt,aktivt,,
Strannerklint Group ek. för.,7696096762,aktivt,aktivt,,
Tommy Forslund Rail Consulting AB,5590978861,aktivt,aktivt,,
Fredrikssons Bygg i Huskvarna AB,5592088198,aktivt,aktivt,,
Bränninge Plåt AB,5592162910,aktivt,aktivt,,
Jan Ekströms Möbelsnickeri Aktiebolag,5564300654,aktivt,aktivt,,
Björn SkorstensService AB,5592140825,aktivt,aktivt,,
Byggnads Aktiebolaget Skoga,5560867920,aktivt,aktivt,,
Porteshults Bygg AB,5591809404,aktivt,aktivt,,
HLT Hiss & Lyftteknik i Bankeryd AB,5568777816,aktivt,aktivt,,
VVS-Teknik i Värnamo AB,5590202023,aktivt,aktivt,,
HEJC AB,5568858244,aktivt,aktivt,,
Tinna Ahlander AB,5590009857,aktivt,aktivt,,
Becc Design Studio AB,5565572715,aktivt,aktivt,,
